0,1,2
https://www.kufar.by/item/250672003?searchId=785fe4b5b9fa4ee5bc9e2b96a022ddf3f9a0,190,Столик компьютерныйГродноПозвонить
https://www.kufar.by/item/252943137?searchId=785fe4b5b9fa4ee5bc9e2b96a022ddf3f9a0,7999,"Финский диван Luonto Hampton Queen Size Минск, ЦентральныйПозвонить"
https://www.kufar.by/item/253636377?rank=0&searchId=785fe4b5b9fa4ee5bc9e2b96a022ddf3f9a0,90,"КомодМинск, Октябрьский"
https://www.kufar.by/item/244007245?rank=1&searchId=785fe4b5b9fa4ee5bc9e2b96a022ddf3f9a0,70,"Шкаф железныйМинск, Ленинский"
https://www.kufar.by/item/253636209?rank=2&searchId=785fe4b5b9fa4ee5bc9e2b96a022ddf3f9a0,9,"Детская табуреточка Минск, Московский"
https://www.kufar.by/item/253636186?rank=3&searchId=785fe4b5b9fa4ee5bc9e2b96a022ddf3f9a0,100,"Кровать Польша 160на 80Минск, Центральный"
https://www.kufar.by/item/253636173?rank=4&searchId=785fe4b5b9fa4ee5bc9e2b96a022ddf3f9a0,19,"Табуреточка детская Минск, Московский"
https://www.kufar.by/item/253636141?rank=5&searchId=785fe4b5b9fa4ee5bc9e2b96a022ddf3f9a0,60,"Письменный стол, маникюрный складнойМинск, Октябрьский"
https://www.kufar.by/item/253636106?rank=6&searchId=785fe4b5b9fa4ee5bc9e2b96a022ddf3f9a0,220,Кровать маятник с комодомГродно
https://www.kufar.by/item/253635691?rank=7&searchId=785fe4b5b9fa4ee5bc9e2b96a022ddf3f9a0,350,"Кровать-чердак+лестница-комодГомельская, Речица"
https://www.kufar.by/item/252376107?rank=9&searchId=785fe4b5b9fa4ee5bc9e2b96a022ddf3f9a0,1500,Кровать двухспальная 1600х2000Гомель
https://www.kufar.by/item/253635982?rank=10&searchId=785fe4b5b9fa4ee5bc9e2b96a022ddf3f9a0,130,ТрюмоВитебск
